id,payload_id,manufacturer
0,5eb0e4b5b6c3bb0006eeb1e1,SSTL
1,5eb0e4b6b6c3bb0006eeb1e2,SpaceX
2,5eb0e4b6b6c3bb0006eeb1e3,Space Dev
3,5eb0e4b6b6c3bb0006eeb1e4,
4,5eb0e4b7b6c3bb0006eeb1e5,SpaceX
5,5eb0e4b7b6c3bb0006eeb1e6,Satrec
6,5eb0e4b7b6c3bb0006eeb1e7,SpaceX
7,5eb0e4b9b6c3bb0006eeb1e8,SpaceX
8,5eb0e4b9b6c3bb0006eeb1e9,
9,5eb0e4bab6c3bb0006eeb1ea,SpaceX
10,5eb0e4bab6c3bb0006eeb1eb,SpaceX
11,5eb0e4bab6c3bb0006eeb1ec,
12,5eb0e4bbb6c3bb0006eeb1ed,SpaceX
13,5eb0e4bbb6c3bb0006eeb1ee,MDA
14,5eb0e4bbb6c3bb0006eeb1ef,Orbital ATK
15,5eb0e4bbb6c3bb0006eeb1f0,Orbital ATK
16,5eb0e4bbb6c3bb0006eeb1f1,SpaceX
17,5eb0e4bcb6c3bb0006eeb1f2,Boeing
18,5eb0e4bcb6c3bb0006eeb1f3,SSL
19,5eb0e4bcb6c3bb0006eeb1f4,SSL
20,5eb0e4bcb6c3bb0006eeb1f5,SpaceX
21,5eb0e4bdb6c3bb0006eeb1f6,SpaceX
22,5eb0e4bdb6c3bb0006eeb1f7,Sierra Nevada
23,5eb0e4bdb6c3bb0006eeb1f8,Boeing
24,5eb0e4bdb6c3bb0006eeb1f9,Boeing
25,5eb0e4bdb6c3bb0006eeb1fa,SpaceX
26,5eb0e4beb6c3bb0006eeb1fb,Thales Alenia Space
27,5eb0e4beb6c3bb0006eeb1fc,SpaceX
28,5eb0e4beb6c3bb0006eeb1fd,Boeing
29,5eb0e4beb6c3bb0006eeb1fe,Thales Alenia Space
30,5eb0e4beb6c3bb0006eeb1ff,Boeing
31,5eb0e4bfb6c3bb0006eeb200,SpaceX
32,5eb0e4bfb6c3bb0006eeb201,SSL
33,5eb0e4bfb6c3bb0006eeb202,Orbital ATK
34,5eb0e4bfb6c3bb0006eeb203,Boeing
35,5eb0e4bfb6c3bb0006eeb204,Boeing
36,5eb0e4c0b6c3bb0006eeb205,SpaceX
37,5eb0e4c1b6c3bb0006eeb206,SSL
38,5eb0e4c1b6c3bb0006eeb207,Israel Aerospace Industries
39,5eb0e4c2b6c3bb0006eeb208,Thales Alenia Space
40,5eb0e4c3b6c3bb0006eeb209,SpaceX
41,5eb0e4c3b6c3bb0006eeb20a,Airbus Defence and Space
42,5eb0e4c3b6c3bb0006eeb20b,Airbus Defence and Space
43,5eb0e4c3b6c3bb0006eeb20c,Boeing
44,5eb0e4c3b6c3bb0006eeb20d,Boeing
45,5eb0e4c4b6c3bb0006eeb20e,SpaceX
46,5eb0e4c4b6c3bb0006eeb20f,SSL
47,5eb0e4c4b6c3bb0006eeb210,Thales Alenia Space
48,5eb0e4c4b6c3bb0006eeb211,Boeing
49,5eb0e4c4b6c3bb0006eeb212,SpaceX
50,5eb0e4c4b6c3bb0006eeb213,NSPO
51,5eb0e4c5b6c3bb0006eeb214,Boeing Defense
52,5eb0e4c5b6c3bb0006eeb215,Thales Alenia Space
53,5eb0e4c5b6c3bb0006eeb216,Airbus Defence and Space
54,5eb0e4c5b6c3bb0006eeb217,Thales Alenia Space
55,5eb0e4c5b6c3bb0006eeb218,SpaceX
56,5eb0e4c6b6c3bb0006eeb219,Thales Alenia Space
57,5eb0e4c6b6c3bb0006eeb21a,Northrop Grumman
58,5eb0e4c6b6c3bb0006eeb21b,Orbital ATK
59,5eb0e4c6b6c3bb0006eeb21c,Tesla
60,5eb0e4c6b6c3bb0006eeb21d,Airbus Defence and Space
61,5eb0e4c6b6c3bb0006eeb21e,SpaceX
62,5eb0e4c7b6c3bb0006eeb21f,SSL
63,5eb0e4c7b6c3bb0006eeb220,Thales Alenia Space
64,5eb0e4c7b6c3bb0006eeb221,SpaceX
65,5eb0e4c7b6c3bb0006eeb222,Orbital ATK
66,5eb0e4c7b6c3bb0006eeb223,Thales Alenia Space
67,5eb0e4c7b6c3bb0006eeb224,Thales Alenia Space
68,5eb0e4c8b6c3bb0006eeb225,
69,5eb0e4c8b6c3bb0006eeb226,Airbus Defence and Space
70,5eb0e4c8b6c3bb0006eeb227,SpaceX
71,5eb0e4c8b6c3bb0006eeb228,SSL
72,5eb0e4c9b6c3bb0006eeb229,Thales Alenia Space
73,5eb0e4c9b6c3bb0006eeb22a,SSL
74,5eb0e4c9b6c3bb0006eeb22b,SSL
75,5eb0e4c9b6c3bb0006eeb22c,INVAP
76,5eb0e4c9b6c3bb0006eeb22d,Mitsubishi Electric
77,5eb0e4c9b6c3bb0006eeb22e,"Spaceflight Industries, Inc"
78,5eb0e4cab6c3bb0006eeb22f,SpaceX
79,5eb0e4cab6c3bb0006eeb230,Lockheed Martin
80,5eb0e4cab6c3bb0006eeb231,Thales Alenia Space
81,5eb0e4cab6c3bb0006eeb232,SSL
82,5eb0e4cab6c3bb0006eeb233,Applied Defense Systems
83,5eb0e4cab6c3bb0006eeb234,SSL
84,5eb0e4cbb6c3bb0006eeb235,SpaceX
85,5eb0e4cbb6c3bb0006eeb236,Lockheed Martin
86,5eb0e4cbb6c3bb0006eeb237,SpaceX
87,5eb0e4cbb6c3bb0006eeb238,SpaceX
88,5eb0e4ccb6c3bb0006eeb239,Maxar Technologies
89,5eb0e4ccb6c3bb0006eeb23a,Sierra Nevada Corporation
90,5eb0e4ccb6c3bb0006eeb23b,National Space Organization
91,5eb0e4ccb6c3bb0006eeb23c,Ball Aerospace & Technologies Corp
92,5eb0e4ccb6c3bb0006eeb23d,Michigan Tech
93,5eb0e4ccb6c3bb0006eeb23e,Surrey Satellite Technology-US LLC
94,5eb0e4cdb6c3bb0006eeb23f,Naval Postgrad School
95,5eb0e4cdb6c3bb0006eeb240,Georgia Tech
96,5eb0e4cdb6c3bb0006eeb241,Planetary Society
97,5eb0e4cdb6c3bb0006eeb242,University of Texas
98,5eb0e4cdb6c3bb0006eeb243,USAF Academy
99,5eb0e4cdb6c3bb0006eeb244,SRI International
100,5eb0e4cdb6c3bb0006eeb245,US Naval Academy
101,5eb0e4ceb6c3bb0006eeb246,US Naval Academy
102,5eb0e4ceb6c3bb0006eeb247,Naval Research Lab
103,5eb0e4ceb6c3bb0006eeb248,Cal Poly
104,5eb0e4ceb6c3bb0006eeb249,Merrit Island HS
105,5eb0e4ceb6c3bb0006eeb24a,SpaceX
106,5eb0e4cfb6c3bb0006eeb24b,Boeing Satellite Systems
107,5eb0e4cfb6c3bb0006eeb24c,SpaceX
108,5eb0e4cfb6c3bb0006eeb24d,SpaceX
109,5eb0e4cfb6c3bb0006eeb24e,Boeing Satellite Systems
110,5eb0e4cfb6c3bb0006eeb24f,SpaceX
111,5eb0e4d0b6c3bb0006eeb250,SpaceX
112,5eb0e4d0b6c3bb0006eeb251,SpaceX
113,5eb0e4d0b6c3bb0006eeb252,SpaceX
114,5eb0e4d0b6c3bb0006eeb253,SpaceX
115,5eb0e4d0b6c3bb0006eeb254,SpaceX
116,5eb0e4d1b6c3bb0006eeb255,SpaceX
117,5eb0e4d1b6c3bb0006eeb256,SpaceX
118,5eb0e4d1b6c3bb0006eeb257,SpaceX
119,5eb0e4d1b6c3bb0006eeb258,SpaceX
120,5eb0e4d1b6c3bb0006eeb259,
121,5eb0e4d2b6c3bb0006eeb25b,South Korea
122,5eb0e4d2b6c3bb0006eeb25c,Lockheed Martin
123,5eb0e4d2b6c3bb0006eeb25d,SSL
124,5eb0e4d2b6c3bb0006eeb25e,Lockheed Martin
125,5eb0e4d2b6c3bb0006eeb25f,SpaceX
126,5eb0e4d2b6c3bb0006eeb261,Lockheed Martin
127,5eb0e4d3b6c3bb0006eeb262,SpaceX
128,5eb0e4d3b6c3bb0006eeb264,Airbus Defence and Space
129,5ed9858b1f30554030d45c3e,SpaceX
130,5ed9859f1f30554030d45c3f,SpaceX
131,5ed9867c1f30554030d45c40,
132,5ee522e32f1f3d474c758123,BlackSky Global
133,5ef6a4600059c33cee4a829e,SpaceX
134,5ef6a48e0059c33cee4a829f,SpaceX
135,5ef6a4d50059c33cee4a82a1,SpaceX
136,5ef6a4ea0059c33cee4a82a2,SpaceX
137,5f839ac7818d8b59f5740d48,
138,5fb95c263a88ae63c9546044,SpaceX
139,5fbfedba54ceb10a5664c813,SpaceX
140,5fbfedc654ceb10a5664c814,SpaceX
141,5fd3871a7faea57d297c86c6,
142,5fe3b2abb3467846b3242172,Airbus Defence and Space
143,5fe3b3adb3467846b3242173,SpaceX
144,5fe3b3bab3467846b3242174,SpaceX
145,5fe3b57db3467846b324217a,SSL
146,5fe3b642b3467846b324217b,SpaceX
147,5fe3b86eb3467846b324217c,USSF
148,5fe3c080b3467846b3242190,Airbus Defence and Space
149,5fe3c4a6b3467846b3242192,Applied Physics Laboratory
150,5fe3c4f2b3467846b3242193,SpaceX
151,5ff655769257f579ee3a6c64,SpaceX
152,600f9bc08f798e2a4d5f97a4,SpaceX
153,600f9bcb8f798e2a4d5f97a5,SpaceX
154,600f9bd88f798e2a4d5f97a6,SpaceX
155,60428afbc041c16716f73cdd,SpaceX
156,60428b02c041c16716f73cde,SpaceX
157,605b4be3aa5433645e37d046,SpaceX
158,605b4befaa5433645e37d047,SpaceX
159,605b4bfcaa5433645e37d048,SpaceX
160,6079bd5e9a06446e8c61bf7c,SpaceX
161,6079bd679a06446e8c61bf7d,SpaceX
162,607a382f5a906a44023e0867,SpaceX
163,608ac397eb3e50044e3630e7,
164,609f48374a12e4692eae4667,Capella Space
165,609f49c64a12e4692eae4668,Tyvak Nano-Satellite Systems Inc
166,60e3bf3373359e1e20335c3c,SpaceX
167,6161d0af6db1a92bfba85352,SpaceX
168,6161d0f26db1a92bfba85355,SpaceX
169,6161d22a6db1a92bfba85357,SpaceX
170,6161d3a06db1a92bfba8535a,
171,6175aaacefa4314085aa9c56,
172,618fabf0563d69573ed8caa6,SpaceX
173,61bbac16437241381bf70632,SpaceX
174,61c1f395a4a2462678cbf46e,Ball Aerospace & Technologies
175,61c1f395a4a2462678cbf46e,OHB Italia
176,61d5ece4f88e4c5fc91f1ebb,SpaceX
177,61e05516be8d8b66799018d4,SpaceX
178,61e05520be8d8b66799018d5,SpaceX
179,61eef9b89eb1064137a1bd72,Intuitive Machines
180,61eefb129eb1064137a1bd74,SpaceX
181,61fc02e1e0dc5662b76489b4,SpaceX
182,61fc0334e0dc5662b76489b5,SpaceX
183,61fc0379e0dc5662b76489b6,SpaceX
184,61fc0382e0dc5662b76489b7,SpaceX
185,623491e5f051102e1fcedac9,SpaceX
186,6243af62af52800c6e919260,
187,6243af9faf52800c6e919261,SpaceX
188,6243b036af52800c6e919262,
189,6243b1cdaf52800c6e919265,SpaceX
190,6243b286af52800c6e919266,Thales Alenia Space
191,6243b39daf52800c6e919267,
192,6243b788af52800c6e91926b,
193,6243b835af52800c6e91926d,SpaceX
194,6243b896af52800c6e91926e,
195,6243b93caf52800c6e91926f,Thales Alenia Space
196,6243ba4faf52800c6e919271,
197,625829cf5988f159024b9648,SpaceX
198,625829d75988f159024b9649,SpaceX
199,62582aa55988f159024b964d,SpaceX
200,62582aad5988f159024b964e,SpaceX
201,62615ee40ec008379be596fd,SpaceX
202,6278484e57b51b752c5c5a63,SpaceX
203,628026a42c0aa958437dcf7c,Maxar Technologies
204,628027062c0aa958437dcf7d,University of Colorado Boulder
205,628027062c0aa958437dcf7d,Lockheed Martin
206,62adecbcd26f4f711fa53848,
207,62dd73ed202306255024d145,SpaceX
208,630bccc6d36448026ab01639,SpaceX
209,630bccd6d36448026ab0163a,SpaceX
210,630bce10d36448026ab0163b,SpaceX
211,630bce49d36448026ab0163c,SpaceX
212,630bce79d36448026ab0163d,SpaceX
213,630bcea1d36448026ab0163e,SpaceX
214,630bceadd36448026ab0163f,SpaceX
215,630bceb8d36448026ab01640,SpaceX
216,630bcfe1d36448026ab01641,KARI
217,630f63bf18702d4844fb5391,SpaceX
218,631614d7ffc78f3b85670716,SpaceX
219,631614e9ffc78f3b85670717,SpaceX
220,63161610ffc78f3b85670718,SpaceX
221,63161699ffc78f3b85670719,SpaceX
222,631616a7ffc78f3b8567071a,SpaceX
223,631616aeffc78f3b8567071b,SpaceX
224,63161760ffc78f3b8567071c,SpaceX
225,631617fbffc78f3b8567071d,Spaceflight Inc
226,631617fbffc78f3b8567071d,Digital Astro
227,63161872ffc78f3b8567071e,AST & Science
